CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
20269566,2023-03-01,VNK SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.,201409,N1,I,2,Sociedade de Crédito ao Microempreendedor,Sociedades de crédito ao Microempreendedor,CE,Fortaleza,S5,,C0084404,20269566,A
49324619,2023-03-01,VOLKSWAGEN LEASING S.A. - ARRENDAMENTO MERCANTIL,197710,N1,I,3,Sociedade de Arrendamento Mercantil,,SP,São Paulo,,,,,I
60935582,2023-03-01,VOLVO LEASING ARRENDAMENTO MERCANTIL BRASIL S.A.,198911,N1,I,3,Sociedade de Arrendamento Mercantil,,PR,Curitiba,,,,,I
23862762,2023-03-01,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",201609,N1,I,2,"Sociedade de Crédito, Financiamento e Investimento","Sociedades de Credito, Financiamento e Investimento",SP,São Paulo,,,C0084600,36272465,A
C0084600,2023-03-01,WILL IP - PRUDENCIAL,180001,N1,C,2,,IP Emissor Pós-Pago,SP,São Paulo,,,C0084600,36272465,A
C0083584,2023-03-01,ZEMA CFI - PRUDENCIAL,180001,N1,C,2,,"Sociedades de Credito, Financiamento e Investimento",MG,Araxá,S4,,C0083584,05351887,A
05351887,2023-03-01,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",197701,N1,I,2,"Sociedade de Crédito, Financiamento e Investimento","Sociedades de Credito, Financiamento e Investimento",MG,Araxá,S4,,C0083584,05351887,A
C0085221,2023-03-01,ZIPDIN SCD - PRUDENCIAL,180001,N1,I,2,,Sociedade de Crédito Direto,SP,São Paulo,S5,,C0085221,37414009,A
37414009,2023-03-01,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A,202008,N1,I,2,Sociedade de Crédito Direto,Sociedade de Crédito Direto,SP,São Paulo,S5,,C0085221,37414009,A
C0086828,2023-03-01,ZM SCD PRUDENCIAL,180001,N1,I,2,,,GO,Águas Lindas de Goiás,S5,,C0086828,49947715,I
49947715,2023-03-01,ZM SOCIEDADE DE CRÉDITO DIRETO S.A.,180001,N1,I,2,Sociedade de Crédito Direto,,GO,Águas Lindas de Goiás,S5,,C0086828,49947715,I
76621457,2023-03-01,4UM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,196801,N2,I,2,Sociedade Distribuidora de TVM,,PR,Curitiba,S4,C0030881,C0080233,14388334,A
08026445,2023-03-01,AB CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA,197108,N2,I,2,Sociedade Corretora de TVM,,RN,Natal,,,,,I
33888736,2023-03-01,ABAETE S/A - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,196810,N2,I,2,Sociedade Distribuidora de TVM,,SP,São José dos Campos,,,,,I
33817677,2023-03-01,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,196803,N2,I,3,Sociedade Distribuidora de TVM,,SP,São Paulo,S3,C0041856,C0080312,28195667,A
10664027,2023-03-01,ABERTURA CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA,198607,N2,I,2,Sociedade Corretora de TVM,,PE,Recife,,,,,I
44527444,2023-03-01,ABN AMRO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,202205,N2,I,3,Sociedade Corretora de TVM,,SP,São Paulo,S4,C0052302,C0081579,03532415,A
29959251,2023-03-01,ABONO - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,197711,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
33846163,2023-03-01,ACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196807,N2,I,2,Sociedade Distribuidora de TVM,,RJ,Rio de Janeiro,,,,,I
33819590,2023-03-01,ACAO S/A CORRETORA DE VALORES E CAMBIO,196804,N2,I,2,Sociedade Corretora de TVM,,RJ,Rio de Janeiro,,,,,I
61160107,2023-03-01,ACEITE - CORRETORA DE CAMBIO E VALORES MOBILIARIOS S/A,196705,N2,I,2,Sociedade Corretora de TVM,,SP,São Paulo,,,,,I
87113189,2023-03-01,ACIONARIA DISTRIBUIDORA DE TITULOS E VALOR. MOBILIARIOS LTDA,196805,N2,I,2,Sociedade Distribuidora de TVM,,RS,Porto Alegre,,,,,I
C0085977,2023-03-01,ACTIVTRADES CCTVM - PRUDENCIAL,180001,N2,I,2,,CTVM DTVM - Outros,SC,Florianópolis,S4,,C0085977,43050917,A
43050917,2023-03-01,"ACTIVTRADES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.",202112,N2,I,2,Sociedade Corretora de TVM,,SC,Florianópolis,S4,,C0085977,43050917,A
09252636,2023-03-01,ADEMAR TAVARES WANDERLEY-CORRETORA DE OPERACOES DE CAMBIO,197010,N2,I,2,Sociedade Corretora de Câmbio,,PB,João Pessoa,,,,,I
09259391,2023-03-01,ADEMAR WANDERLEY - CORRETORA DE CAMBIO E VAL. MOBS. LTDA.,198504,N2,I,2,Sociedade Corretora de TVM,,PB,João Pessoa,,,,,I
62348032,2023-03-01,ADEMPAR S.A. - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,196811,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
62114269,2023-03-01,ADFINAN DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196805,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
17355314,2023-03-01,ADIPAR - EMPREENDIMENTOS E PARTICIPAÇÕES LTDA.,196908,N2,I,2,Sociedade Distribuidora de TVM,,RJ,Rio de Janeiro,,,,,I
35937283,2023-03-01,ADOLPHO OLIVEIRA & ASSOCIADOS CORRETORA DE VALORES E CÂMBIO S/A,199001,N2,I,2,Sociedade Corretora de TVM,,RJ,Rio de Janeiro,,,,,I
62179106,2023-03-01,ADOLPHO OLIVEIRA & ASSOCIADOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS S/A,196804,N2,I,2,Sociedade Distribuidora de TVM,,RJ,Rio de Janeiro,,,,,I
C0082004,2023-03-01,ADVANCED CC LTDA - PRUDENCIAL,180001,N2,I,2,,Corretoras de Câmbio,SP,São Paulo,S5,,C0082004,92856905,A
92856905,2023-03-01,ADVANCED CORRETORA DE CÂMBIO LTDA,196705,N2,I,2,Sociedade Corretora de Câmbio,,SP,São Paulo,S5,,C0082004,92856905,A
74519752,2023-03-01,AGAP DISTRIBUIDORA DE TITS.E VALS. MOBILIARIOS LTDA.,199407,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
17359571,2023-03-01,AGENDA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196809,N2,I,2,Sociedade Distribuidora de TVM,,RJ,Rio de Janeiro,,,,,I
66595083,2023-03-01,AGENTE BR SOCIEDADE CORRETORA DE CÂMBIO LTDA.,199112,N2,I,2,Sociedade Corretora de Câmbio,,SP,São Paulo,,,,,I
62325667,2023-03-01,AGENTE S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,196908,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
03882223,2023-03-01,AGILIS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,200007,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
C0082035,2023-03-01,AGK CC S.A. - PRUDENCIAL,180001,N2,I,2,,Corretoras de Câmbio,SP,São Paulo,S4,,C0082035,00250699,A
00250699,2023-03-01,AGK CORRETORA DE CAMBIO S.A.,199501,N2,I,2,Sociedade Corretora de Câmbio,,SP,São Paulo,S4,,C0082035,00250699,A
26027326,2023-03-01,"AGM S.A. CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS",198910,N2,I,2,Sociedade Corretora de TVM,,MG,Belo Horizonte,,,,,I
74014747,2023-03-01,ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,199401,N2,I,2,Sociedade Corretora de TVM,,SP,Osasco,S1,C0010045,C0080075,60746948,A
20155420,2023-03-01,AGRIMISA DTVM S.A.,196809,N2,I,2,Sociedade Distribuidora de TVM,,MG,Belo Horizonte,,,,,I
00397331,2023-03-01,AGROBANCO CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO S/A,197507,N2,I,2,Sociedade Corretora de TVM,,GO,Goiânia,,,,,I
49945272,2023-03-01,AGUIAR CORRETORA DE CAMBIO LTDA.,197805,N2,I,2,Sociedade Corretora de Câmbio,,SP,Santos,,,,,I
05452073,2023-03-01,ALBATROSS CORRETORA DE CAMBIO E VALORES S.A,197507,N2,I,2,Sociedade Corretora de TVM,,SP,São Paulo,,,,,LO
07315922,2023-03-01,ALCANTARA CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA,198403,N2,I,2,Sociedade Corretora de TVM,,MA,São Luís,,,,,I
62178421,2023-03-01,ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.,196807,N2,I,2,Sociedade Corretora de TVM,,SP,São Paulo,S3,C0051293,C0080570,60770336,A
62255880,2023-03-01,ALIANCA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196810,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
92748433,2023-03-01,ALMEIDA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,196806,N2,I,2,Sociedade Distribuidora de TVM,,PR,Curitiba,,,,,I
33739491,2023-03-01,ALMEIDA E SILVA S.A. CORRETORA DE TITULOS E VALORES MOBILIARIOS,196707,N2,I,2,Sociedade Corretora de TVM,,RJ,Rio de Janeiro,,,,,I
62815758,2023-03-01,ALPAR S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS,197012,N2,I,2,Sociedade Distribuidora de TVM,,SP,São Paulo,,,,,I
03882245,2023-03-01,"ALPES CORRETORA DE CÂMBIO, TITULOS E VALORES MOBILIÁRIOS LTDA",200012,N2,I,2,Sociedade Corretora de TVM,,SP,São Paulo,,,,,I
84709781,2023-03-01,ALPHA - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,196811,N2,I,2,Sociedade Distribuidora de TVM,,SC,Joinville,,,,,I
17320136,2023-03-01,ALTEROSA - CORRETORA DE VALORES S/A,196708,N2,I,2,Sociedade Corretora de TVM,,MG,Belo Horizonte,,,,,I
72737281,2023-03-01,ALVEAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,199311,N2,I,2,Sociedade Distribuidora de TVM,,SP,Barueri,,,,,I
85010361,2023-03-01,ALVES FERREIRA ASSESSORIA FINANCEIRA LTDA,199205,N2,I,2,Sociedade Corretora de Câmbio,,PR,Curitiba,,,,,I
75724195,2023-03-01,ALVES MEYER CORRETORA DE TITULOS LTDA,198111,N2,I,2,Sociedade Corretora de TVM,,PR,Curitiba,,,,,I
